#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,.,#,.,#,.,.,.,.,#,.,.,.,#,#,.,.,.,.,.,.,#,.,.,.,.,.,#,#,#,#,.,#,.,.,.,.,.,.,#,#,.,.,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,#,.,#,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,#,#,.,.,.,.,#,.,.,.,#,.,#,#,#,#,#,#,.,.
.,#,#,#,#,#,.,#,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,#,.,#,#,.,.,.,#,.,.,.,#,#,.,#,.,#,.,.,#,#,#,.,.,#,#,.,.,.,#,.,#,#,#,.,.,.,.,#,.,.,#,#,#,#,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,.,#,#,#,#,#,#,#,#,#,#,.,#,.,#,#,.,#,.,#,#,.,#,#,.,#,.,#,.,#,#,.,#,.,#,.,#,.,#,#,#,.,#,.,.,.,#,#,#,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,#,.,#,#,.,#,#,.,#,.,#,.,#,#,.,.,.,.,.,#,#,#,#,.,#,#,.,#,.,.,.,#,.,#,.,.,.,#,.,.,#,#,.,#,.,.,#,#,#,#,#,.,.,.,.,#,#,.,.,#,.,#,.,.,.,#,#,#,#,.,.,#
.,#,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,#,.,#,#,.,#,.,.,.,#,.,.,.,.,#,.,.,.,#,.,.,.,.,#,.,.,.,#,.,.,#,.,#,#,#,#,.,.,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,#,#,.,#,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,#,.,#,#,#,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,.,#,#,#,.,.,.,.,#,.,#,.,.,.,.,.,.,#,#,#,.,#,.,#,#,#,.,.,.,.,#,#,.,.,#,#,#,.,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,#,#,#,.,#,.,.,.,#,.,.,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,.,.,.,.,#,#,.,#,.,#,#,.,#,.,.,.,#,.,.,#,#,.,.,#,.
.,.,.,#,#,.,.,.,#,#,.,.,.,#,.,#,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,.,#,#,#,.,.,.,#,.,#,.,.,#,#,.,.,#,.,#,.,#,#,#,#,#,.,.,#,.,.,#,.,#,#,#,.,.,.,#,#,.,.,#,.,#,#,.,#,.,.,#,.,#,.,#,.,#,#,#,#,#,.,.,#,.,#,#,.,#,.,.,#,.,#,#,.,.,.,#,#,.,.,#,#,.,.,.,#,.,#,.,#,#,.,#,.,.,.,.,#,#,.,.,#,.,.,#,#,#,#,#,.,#,.,.,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,.,#,#,.,#,#,#,.,.,#,#,#,.,.,.,#,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,.,#,#,#,.,.,#,#,#,.,#,.,#,.,#,.,#,.,#,.,.,#,#,#,#,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,#,.,.,.,.,#,.,.
#,.,.,#,.,#,#,#,.,.,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,.,#,.,.,#,#,.,.,.,#,#,#,.,.,.,#,.,#,.,.,#,.,#,#,.,.,.,.,#,#,#,.,.,.,#,.,.,.,.,.,#,#,#,.,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,#,.,.,.,.,.,#,.,.,.,.,#,.,#,#,.,.,.,.,.,#,#,#,.,#,.,#,.,.,#,#,#,#,.,#,.,.,#,.,#,.,#,#,#,.,.,#,.,#,#,#,.,.,.,.,.,.,#,.,#,#,.,.,#,#,#,#,.,.,.,#,#,.,.,#,.,.,#,.,#,#,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,#,#,#,#,#,.,#,#,#,.,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,#,#,#,.,#,.,.,.,.,#,.,#,#,.,.,#
.,.,#,#,.,.,.,.,#,#,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,#,.,#,#,.,.,#,.,#,.,.,.,.,#,.,#,.,.,.,.,#,.,.,.,.,#,#,#,.,.,#,.,.,#,.,#,.,#,#,#,.,.,.,#,#,.,.,.,.,#,.,.,#,.,.,.,.,#,#,.,.,.,.,#,#,#,#,.,.,#,.,#,.,.,.,.,#,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,#,.,.,.,.,#,#,.,#,.,#,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.,#,.,#,#,.,#,.,.,.,#,.,.,#,.,#,#,.,#,.,.,#,#,.,.,#,.,.,.,.,#,.,#,.,.,.,.,#,.,.,.,.,.,.,#,.,#,.,#,#,#,.,#,.,#,#,#,#,.,#,#,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,.,.,.,.,#,.,#,#,#,.,.,#,#,.,#
#,#,.,.,.,#,#,.,.,.,#,.,.,#,#,#,.,#,#,.,#,#,.,#,.,#,#,.,.,.,#,#,.,.,.,#,#,#,.,.,#,.,.,#,.,#,.,.,#,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,.,.,.,#,.,.,#,#,.,#,.,#,.,#,#,#,#,#,.,#,.,.,#,#,#,.,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,#,.,.,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,.,.,.,#,.,.,.,#,#,#,.,.,#,.,.,#,#,.,#,#,.,#,.,.,#,#,.,.,#,.,#,.,.,.,.,#,.,.,#,#,.,.,.,#,#,.,.,.,#,#,#,.,.,.,.,#,#,.,#,#,.,.,.,#,#,.,#,.,#,.,#,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,#,.,.,#,.,.,#,.,.,.,#,#,#,#,#,.,#,#,.,.,.,#,.,.,.,.,#
.,.,.,#,#,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,.,#,.,.,.,#,.,.,#,#,.,.,.,#,.,.,.,#,#,#,.,.,#,.,#,.,.,.,#,#,.,.,#,#,.,#,.,.,.,#,.,.,#,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,#,.,.,#,.,#,#,.,.,.,#,.,.,.,#,#,.,#,.,.,.,#,#,.,.,.,#,.,#,.,.,#,#,#,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,.,#,#,.,.,#,.,.,#,#,#,.,#,.,#,#,.,.,#,.,#,#,#,.,#,.,.,.,#,.,#,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,#,#,#,#,.,#,.,#,#,#,#,.,.,.,#,#,.,#,#,.,.,#,.,.,#,.,#,#,.,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,#,.
#,.,#,.,#,#,.,#,.,#,.,#,#,#,.,.,#,.,.,.,#,.,#,#,.,#,.,.,#,#,#,.,#,.,#,.,#,.,#,#,.,.,.,#,#,.,#,#,.,#,.,.,.,#,.,.,#,#,.,#,#,.,.,.,#,.,.,.,.,#,#,.,.,.,#,#,.,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,#,.,.,.,.,#,.,#,.,.,.,#,#,.,.,#,.,#,.,.,.,.,#,#,.,.,.,#,.,#,.,.,.,.,#,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,#,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,#,.,#,.,#,.,.,#,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,#,.,#,.,.,.,.,#,#,.,#,#,.,#,#,.,.,.,#,#,.,#,.,.,#,.
#,#,.,.,.,.,.,#,.,#,.,.,.,.,#,.,#,#,#,#,.,#,.,.,.,.,#,#,.,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,#,.,#,#,#,.,.,.,#,.,.,.,#,.,#,.,#,#,.,#,#,#,.,#,.,.,.,#,.,#,.,.,#,.,.,#,.,.,#,#,.,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,#,#,.,.,.,#,#,.,.,.,#,.,#,#,.,.,#,.,.,.,.,#,.,#,.,.,#,.,#,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,#,.,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,#,#,.,#,.,.,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,#,.,#,.,#,#,#,.,#,.,.,.,.,#,#,.,#,.,#,.,.,#,#,#,.,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,#,#,#,.
