#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,.,#,.,#,.,.,.,.,#,.,.,.,#,#,.,.,.,.,.,.,#,.,.,.,.,.,#,#,#,#,.,#,.,.,.,.,.,.,#,#,.,.,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,#,.,#,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,.,#,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,#,#,.,.,.,.,#,.,.,.,#,.,#,#,#,#,#,#,.,.,.,#,.,.,.,#,.,.,.,.,#,.,.,#,.,.,.,.,.,#,.,.,.,.,.,#,#,.,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,.,#
.,#,#,#,#,#,.,#,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,#,.,#,#,.,.,.,#,.,.,.,#,#,.,#,.,#,.,.,#,#,#,.,.,#,#,.,.,.,#,.,#,#,#,.,.,.,.,#,.,.,#,#,#,#,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,.,#,#,#,#,#,#,#,#,#,#,.,#,.,#,#,.,#,.,#,#,.,#,#,.,#,.,#,.,#,#,.,#,.,#,.,#,.,#,#,#,.,#,.,.,.,#,#,#,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,#,.,#,#,.,#,#,.,#,.,#,.,#,#,.,.,.,.,.,#,#,#,#,.,#,#,.,#,.,.,.,#,.,#,.,.,.,#,.,.,#,#,.,#,.,.,#,#,#,#,#,.,.,.,.,#,#,.,.,#,.,#,.,.,.,#,#,#,#,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,#,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,.,#,#,#,#,#,.,.,#,.,#,#,.,#,#,#,.,.
.,#,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,#,.,#,#,.,#,.,.,.,#,.,.,.,.,#,.,.,.,#,.,.,.,.,#,.,.,.,#,.,.,#,.,#,#,#,#,.,.,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,#,#,.,#,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,#,.,#,#,#,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,#,.,.,.,.,.,#,#,#,.,.,.,.,#,.,#,.,.,.,.,.,.,#,#,#,.,#,.,#,#,#,.,.,.,.,#,#,.,.,#,#,#,.,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,#,#,#,.,#,.,.,.,#,.,.,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,.,.,.,.,#,#,.,#,.,#,#,.,#,.,.,.,#,.,.,#,#,.,.,#,.,#,#,.,.,#,.,#,.,.,.,.,#,.,#,.,#,#,.,.,.,#,.,.,#,#,#,.,#,#,.,#,.,#,.,.,.,.,.,.,#,#,.,#,.,.,#,.,.,#,#
.,.,.,#,#,.,.,.,#,#,.,.,.,#,.,#,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,.,#,#,#,.,.,.,#,.,#,.,.,#,#,.,.,#,.,#,.,#,#,#,#,#,.,.,#,.,.,#,.,#,#,#,.,.,.,#,#,.,.,#,.,#,#,.,#,.,.,#,.,#,.,#,.,#,#,#,#,#,.,.,#,.,#,#,.,#,.,.,#,.,#,#,.,.,.,#,#,.,.,#,#,.,.,.,#,.,#,.,#,#,.,#,.,.,.,.,#,#,.,.,#,.,.,#,#,#,#,#,.,#,.,.,.,#,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,#,.,.,#,.,.,#,#,.,#,#,#,.,.,#,#,#,.,.,.,#,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,.,#,#,#,.,.,#,#,#,.,#,.,#,.,#,.,#,.,#,.,.,#,#,#,#,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,#,.,.,.,.,#,.,.,.,.,#,#,#,.,#,#,.,#,.,#,.,#,.,.,.,#,#,.,#,.,#,.,.,#,.,.,.,.,#,.,.,#,.,#,.,#,#,.,.,.,#,.,#,#,.,#,.,.
#,.,.,#,.,#,#,#,.,.,.,#,.,.,#,.,.,.,#,.,.,#,.,#,.,#,.,.,#,.,.,#,#,.,.,.,#,#,#,.,.,.,#,.,#,.,.,#,.,#,#,.,.,.,.,#,#,#,.,.,.,#,.,.,.,.,.,#,#,#,.,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.,#,#,.,.,.,.,.,#,.,.,.,.,#,.,#,#,.,.,.,.,.,#,#,#,.,#,.,#,.,.,#,#,#,#,.,#,.,.,#,.,#,.,#,#,#,.,.,#,.,#,#,#,.,.,.,.,.,.,#,.,#,#,.,.,#,#,#,#,.,.,.,#,#,.,.,#,.,.,#,.,#,#,.,#,.,#,.,.,.,.,.,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,#,#,#,#,#,.,#,#,#,.,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,#,#,#,.,#,.,.,.,.,#,.,#,#,.,.,#,.,#,.,.,.,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,#,.,.,#,.,.,#,#,#,.,.,#,.,.,#,.,.,#,.,.,#,#,.,.,#,.,.,.,.,#
.,.,#,#,.,.,.,.,#,#,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,#,.,#,#,.,.,#,.,#,.,.,.,.,#,.,#,.,.,.,.,#,.,.,.,.,#,#,#,.,.,#,.,.,#,.,#,.,#,#,#,.,.,.,#,#,.,.,.,.,#,.,.,#,.,.,.,.,#,#,.,.,.,.,#,#,#,#,.,.,#,.,#,.,.,.,.,#,#,.,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,#,.,.,.,.,#,#,.,#,.,#,.,.,#,.,.,#,.,.,.,.,#,.,#,.,.,#,.,#,#,.,#,.,.,.,#,.,.,#,.,#,#,.,#,.,.,#,#,.,.,#,.,.,.,.,#,.,#,.,.,.,.,#,.,.,.,.,.,.,#,.,#,.,#,#,#,.,#,.,#,#,#,#,.,#,#,.,#,.,.,#,.,#,.,#,.,#,.,#,#,.,.,.,.,.,.,#,.,#,#,#,.,.,#,#,.,#,.,#,.,#,.,.,.,#,.,#,.,.,#,.,.,.,#,#,.,.,.,#,.,#,.,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,#,.,#,.,.,#,#,.,#
#,#,.,.,.,#,#,.,.,.,#,.,.,#,#,#,.,#,#,.,#,#,.,#,.,#,#,.,.,.,#,#,.,.,.,#,#,#,.,.,#,.,.,#,.,#,.,.,#,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,.,.,.,#,.,.,#,#,.,#,.,#,.,#,#,#,#,#,.,#,.,.,#,#,#,.,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,#,.,.,#,.,.,#,.,#,.,#,#,.,.,#,.,.,#,.,.,.,#,.,.,.,#,#,#,.,.,#,.,.,#,#,.,#,#,.,#,.,.,#,#,.,.,#,.,#,.,.,.,.,#,.,.,#,#,.,.,.,#,#,.,.,.,#,#,#,.,.,.,.,#,#,.,#,#,.,.,.,#,#,.,#,.,#,.,#,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,#,.,.,#,.,.,#,.,.,.,#,#,#,#,#,.,#,#,.,.,.,#,.,.,.,.,#,#,#,.,.,#,#,.,#,.,.,#,.,.,#,#,.,#,#,#,#,.,#,.,#,.,.,#,.,#,#,.,.,#,.,#,.,#,.,#,.,.,#,.,.,#,.,#,.,.,.
.,.,.,#,#,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,.,.,.,#,.,.,.,#,#,.,.,.,#,.,#,.,.,.,#,.,.,#,#,.,.,.,#,.,.,.,#,#,#,.,.,#,.,#,.,.,.,#,#,.,.,#,#,.,#,.,.,.,#,.,.,#,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,#,.,#,.,#,#,.,.,#,.,#,#,.,.,.,#,.,.,.,#,#,.,#,.,.,.,#,#,.,.,.,#,.,#,.,.,#,#,#,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,.,#,#,.,.,#,.,.,#,#,#,.,#,.,#,#,.,.,#,.,#,#,#,.,#,.,.,.,#,.,#,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,#,#,#,#,.,#,.,#,#,#,#,.,.,.,#,#,.,#,#,.,.,#,.,.,#,.,#,#,.,.,.,.,.,#,.,.,#,.,#,.,.,#,.,#,#,.,.,.,.,#,.,.,#,.,.,#,.,#,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,.,.,.,#,.,.,#,.,#,.,#,#,.,#,.,#,.,.,#,.,#,#
#,.,#,.,#,#,.,#,.,#,.,#,#,#,.,.,#,.,.,.,#,.,#,#,.,#,.,.,#,#,#,.,#,.,#,.,#,.,#,#,.,.,.,#,#,.,#,#,.,#,.,.,.,#,.,.,#,#,.,#,#,.,.,.,#,.,.,.,.,#,#,.,.,.,#,#,.,#,.,.,#,.,#,.,#,.,.,#,.,.,.,#,#,.,.,.,.,#,.,#,.,.,.,#,#,.,.,#,.,#,.,.,.,.,#,#,.,.,.,#,.,#,.,.,.,.,#,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,#,#,.,.,.,#,.,#,#,.,#,.,#,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,.,.,#,#,.,#,.,#,.,.,#,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,#,#,#,#,.,.,.,.,.,#,.,#,.,.,.,.,#,#,.,#,#,.,#,#,.,.,.,#,#,.,#,.,.,#,.,#,#,.,.,#,.,#,.,#,#,.,#,.,.,#,#,.,.,.,.,.,.,#,.,#,.,#,#,#,#,#,.,.,#,.,.,#,.,.,#,.,.,.,.,.,#,#,#,.,.
#,#,.,.,.,.,.,#,.,#,.,.,.,.,#,.,#,#,#,#,.,#,.,.,.,.,#,#,.,.,.,.,#,.,#,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,#,.,#,#,#,.,.,.,#,.,.,.,#,.,#,.,#,#,.,#,#,#,.,#,.,.,.,#,.,#,.,.,#,.,.,#,.,.,#,#,.,.,#,.,#,#,.,#,.,#,.,#,.,#,.,#,.,.,.,#,.,#,#,.,.,.,#,#,.,.,.,#,.,#,#,.,.,#,.,.,.,.,#,.,#,.,.,#,.,#,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,#,.,#,#,.,#,.,.,#,.,.,.,#,.,#,.,.,.,#,#,#,.,#,.,.,.,#,.,.,#,.,.,#,.,#,.,.,#,.,.,.,.,#,.,#,.,#,#,.,#,.,#,#,#,.,#,.,.,.,.,#,#,.,#,.,#,.,.,#,#,#,.,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,#,#,#,.,.,.,#,#,#,.,.,.,.,.,.,.,#,.,.,.,#,.,#,#,#,#,.,.,#,.,.,.,.,.,.,.,#,#,#,.,.,#,.,.,#,.,#,#,.,.,#,.,.,#
